pitch_id,game_id,inning,inning_half,outs,balls,strikes,batting_team_name,fielding_team_name,batter_id,pitcher_id,catcher_id,called_strike_or_ball,abs_zone_call,was_challenged,challenge_id,pitch_x,pitch_z,sz_top,sz_bot
P0000064,2025-04-01,8,bottom,0,3,1,Austin Aces,Charlotte Comets,1008,1027,1015,strike,ball,True,CH00064,-0.725,2.397,3.21,1.62
P0000068,2025-04-01,7,bottom,2,2,2,Austin Aces,Charlotte Comets,1007,1027,1015,strike,strike,True,CH00068,0.618,2.977,3.21,1.62
P0000075,2025-04-01,3,top,2,3,0,Austin Aces,Charlotte Comets,1006,1025,1015,strike,strike,True,CH00075,-0.171,1.768,3.21,1.62
P0000099,2025-04-01,8,top,2,2,1,Austin Aces,Charlotte Comets,1004,1025,1015,strike,strike,True,CH00099,0.532,1.747,3.21,1.62
P0000117,2025-04-01,8,bottom,0,0,0,Austin Aces,Charlotte Comets,1009,1025,1015,strike,ball,True,CH00117,0.826,2.595,3.21,1.62
P0000123,2025-04-01,4,bottom,0,3,2,Austin Aces,Charlotte Comets,1006,1027,1015,strike,strike,True,CH00123,-0.29,3.157,3.21,1.62
P0000124,2025-04-01,4,bottom,1,3,0,Austin Aces,Charlotte Comets,1003,1025,1015,strike,ball,True,CH00124,0.735,2.156,3.21,1.62
P0000134,2025-04-01,5,top,1,3,0,Austin Aces,Charlotte Comets,1002,1025,1015,strike,strike,True,CH00134,0.696,2.362,3.21,1.62
P0000154,2025-04-01,5,bottom,1,2,0,Charlotte Comets,Austin Aces,1023,1011,1001,strike,ball,True,CH00154,-0.811,1.655,3.21,1.62
P0000194,2025-04-01,4,top,2,3,1,Charlotte Comets,Austin Aces,1018,1010,1001,strike,ball,True,CH00194,0.864,1.925,3.21,1.62
P0000636,2025-04-01,1,top,1,1,1,Austin Aces,Charlotte Comets,1005,1027,1015,ball,strike,True,CH00636,-0.596,2.673,3.21,1.62
P0000640,2025-04-01,1,top,2,0,2,Austin Aces,Charlotte Comets,1005,1024,1015,ball,strike,True,CH00640,-0.62,2.584,3.21,1.62
P0000860,2025-04-01,5,bottom,1,3,0,Austin Aces,Charlotte Comets,1007,1028,1015,strike,strike,False,,0.421,1.63,3.21,1.62
P0000861,2025-04-01,9,bottom,0,2,2,Austin Aces,Charlotte Comets,1001,1025,1015,strike,strike,False,,0.303,2.657,3.21,1.62
P0000862,2025-04-01,4,bottom,1,1,2,Austin Aces,Charlotte Comets,1006,1027,1015,ball,ball,False,,1.069,2.161,3.21,1.62
P0000863,2025-04-01,6,bottom,1,1,2,Austin Aces,Charlotte Comets,1004,1025,1015,strike,strike,False,,-0.128,2.96,3.21,1.62
P0000864,2025-04-01,2,bottom,0,2,0,Austin Aces,Charlotte Comets,1008,1028,1015,ball,ball,False,,-0.426,1.618,3.21,1.62
P0000865,2025-04-01,1,bottom,2,3,1,Austin Aces,Charlotte Comets,1002,1025,1015,strike,strike,False,,0.115,2.482,3.21,1.62
P0000866,2025-04-01,1,bottom,0,3,1,Austin Aces,Charlotte Comets,1005,1024,1015,strike,strike,False,,0.177,3.061,3.21,1.62
P0000867,2025-04-01,2,bottom,1,1,1,Austin Aces,Charlotte Comets,1009,1027,1015,strike,strike,False,,0.168,2.314,3.21,1.62
P0000868,2025-04-01,4,top,0,2,0,Charlotte Comets,Austin Aces,1023,1011,1001,strike,strike,False,,0.456,2.23,3.21,1.62
P0000869,2025-04-01,8,top,1,0,0,Charlotte Comets,Austin Aces,1019,1012,1001,strike,strike,False,,-0.476,2.439,3.21,1.62
P0000870,2025-04-01,6,bottom,1,1,1,Austin Aces,Charlotte Comets,1003,1025,1015,ball,ball,False,,0.1,1.341,3.21,1.62
P0000871,2025-04-01,2,bottom,2,3,0,Austin Aces,Charlotte Comets,1007,1027,1015,strike,strike,False,,0.057,2.427,3.21,1.62
P0000872,2025-04-01,2,top,0,3,0,Charlotte Comets,Austin Aces,1017,1013,1001,strike,strike,False,,-0.012,2.989,3.21,1.62
P0000873,2025-04-01,4,bottom,1,0,0,Austin Aces,Charlotte Comets,1001,1028,1015,strike,strike,False,,-0.638,3.103,3.21,1.62
P0000874,2025-04-01,3,top,2,1,0,Charlotte Comets,Austin Aces,1015,1010,1001,ball,ball,False,,0.761,2.227,3.21,1.62
P0000875,2025-04-01,6,bottom,2,2,1,Austin Aces,Charlotte Comets,1006,1024,1015,strike,strike,False,,0.355,2.336,3.21,1.62
P0000876,2025-04-01,8,bottom,2,2,0,Austin Aces,Charlotte Comets,1004,1024,1015,strike,strike,False,,0.353,2.533,3.21,1.62
P0000877,2025-04-01,1,top,2,3,0,Charlotte Comets,Austin Aces,1021,1014,1001,ball,ball,False,,0.958,1.58,3.21,1.62
P0000878,2025-04-01,5,bottom,1,3,0,Austin Aces,Charlotte Comets,1008,1024,1015,ball,ball,False,,-0.385,3.313,3.21,1.62
P0000879,2025-04-01,5,top,2,3,2,Charlotte Comets,Austin Aces,1022,1012,1001,ball,ball,False,,-0.396,1.465,3.21,1.62
P0000880,2025-04-01,1,bottom,0,0,1,Austin Aces,Charlotte Comets,1002,1027,1015,strike,strike,False,,-0.195,2.409,3.21,1.62
P0000881,2025-04-01,2,bottom,1,1,2,Austin Aces,Charlotte Comets,1005,1025,1015,ball,ball,False,,-0.824,1.984,3.21,1.62
P0000882,2025-04-01,1,bottom,0,1,2,Austin Aces,Charlotte Comets,1009,1027,1015,strike,strike,False,,-0.358,2.466,3.21,1.62
P0000883,2025-04-01,3,top,2,1,1,Charlotte Comets,Austin Aces,1016,1014,1001,strike,strike,False,,0.543,1.708,3.21,1.62
P0000884,2025-04-01,6,bottom,1,3,1,Austin Aces,Charlotte Comets,1003,1026,1015,ball,strike,False,,-0.119,2.515,3.21,1.62
P0000885,2025-04-01,4,bottom,2,3,2,Austin Aces,Charlotte Comets,1007,1028,1015,strike,strike,False,,0.45,3.171,3.21,1.62
P0000886,2025-04-01,5,bottom,0,2,0,Austin Aces,Charlotte Comets,1001,1027,1015,strike,strike,False,,-0.511,2.321,3.21,1.62
P0000887,2025-04-01,7,top,1,2,0,Charlotte Comets,Austin Aces,1018,1014,1001,strike,ball,False,,-0.656,3.298,3.21,1.62
P0000888,2025-04-01,4,top,2,3,2,Charlotte Comets,Austin Aces,1020,1011,1001,strike,strike,False,,-0.149,3.096,3.21,1.62
P0000889,2025-04-01,8,bottom,2,0,2,Austin Aces,Charlotte Comets,1006,1026,1015,strike,ball,False,,0.711,1.681,3.21,1.62
P0000890,2025-04-01,8,top,1,3,2,Charlotte Comets,Austin Aces,1023,1012,1001,strike,strike,False,,-0.232,2.829,3.21,1.62
P0000891,2025-04-01,7,top,2,1,1,Charlotte Comets,Austin Aces,1019,1010,1001,strike,strike,False,,0.681,2.542,3.21,1.62
P0000892,2025-04-01,5,top,0,0,0,Charlotte Comets,Austin Aces,1017,1010,1001,ball,strike,False,,-0.084,1.637,3.21,1.62
P0000893,2025-04-01,8,bottom,1,3,2,Austin Aces,Charlotte Comets,1004,1026,1015,ball,ball,False,,-0.712,3.196,3.21,1.62
P0000894,2025-04-01,9,top,0,2,0,Charlotte Comets,Austin Aces,1015,1010,1001,strike,ball,False,,-0.748,3.13,3.21,1.62
P0000895,2025-04-01,9,bottom,2,0,2,Austin Aces,Charlotte Comets,1008,1026,1015,strike,strike,False,,0.296,2.325,3.21,1.62
P0000896,2025-04-01,8,top,1,3,2,Charlotte Comets,Austin Aces,1021,1014,1001,strike,strike,False,,-0.412,3.006,3.21,1.62
P0000897,2025-04-01,7,bottom,2,2,2,Austin Aces,Charlotte Comets,1002,1026,1015,strike,strike,False,,0.503,1.856,3.21,1.62
P0000898,2025-04-01,6,top,0,3,1,Charlotte Comets,Austin Aces,1022,1013,1001,ball,ball,False,,-0.817,2.707,3.21,1.62
P0000899,2025-04-01,5,bottom,2,0,1,Austin Aces,Charlotte Comets,1005,1026,1015,ball,ball,False,,-0.588,1.556,3.21,1.62
P0000900,2025-04-01,7,top,0,0,0,Charlotte Comets,Austin Aces,1016,1012,1001,strike,strike,False,,0.436,2.409,3.21,1.62
P0000901,2025-04-01,1,top,2,1,2,Charlotte Comets,Austin Aces,1018,1011,1001,ball,ball,False,,-1.353,3.474,3.21,1.62
P0000902,2025-04-01,8,bottom,2,0,2,Austin Aces,Charlotte Comets,1009,1024,1015,ball,ball,False,,-0.646,3.222,3.21,1.62
P0000903,2025-04-01,2,bottom,1,3,0,Austin Aces,Charlotte Comets,1003,1025,1015,strike,strike,False,,0.154,2.144,3.21,1.62
P0000904,2025-04-01,1,bottom,2,3,1,Austin Aces,Charlotte Comets,1007,1025,1015,ball,strike,False,,-0.628,1.811,3.21,1.62
P0000905,2025-04-01,6,top,1,2,0,Charlotte Comets,Austin Aces,1020,1012,1001,strike,strike,False,,-0.576,2.29,3.21,1.62
P0000906,2025-04-01,3,bottom,1,2,0,Austin Aces,Charlotte Comets,1001,1024,1015,strike,strike,False,,0.597,2.261,3.21,1.62
P0000907,2025-04-01,9,bottom,2,3,2,Austin Aces,Charlotte Comets,1006,1025,1015,strike,strike,False,,0.505,2.93,3.21,1.62
P0000908,2025-04-01,8,bottom,2,2,1,Austin Aces,Charlotte Comets,1004,1028,1015,strike,strike,False,,0.304,2.337,3.21,1.62
P0000909,2025-04-01,7,top,2,0,1,Charlotte Comets,Austin Aces,1023,1014,1001,strike,strike,False,,-0.092,2.496,3.21,1.62
P0000910,2025-04-01,9,top,2,2,0,Charlotte Comets,Austin Aces,1019,1012,1001,strike,strike,False,,-0.096,1.81,3.21,1.62
P0000911,2025-04-01,4,top,1,2,0,Charlotte Comets,Austin Aces,1017,1010,1001,ball,ball,False,,-0.147,3.321,3.21,1.62
P0000912,2025-04-01,1,bottom,0,3,0,Austin Aces,Charlotte Comets,1008,1024,1015,ball,ball,False,,-0.85,2.806,3.21,1.62
P0000913,2025-04-01,2,top,1,1,2,Charlotte Comets,Austin Aces,1015,1014,1001,strike,strike,False,,0.275,1.701,3.21,1.62
P0000914,2025-04-01,8,top,1,2,2,Charlotte Comets,Austin Aces,1021,1010,1001,strike,strike,False,,-0.467,2.257,3.21,1.62
P0000915,2025-04-01,2,top,1,0,2,Charlotte Comets,Austin Aces,1022,1013,1001,ball,strike,False,,-0.64,2.043,3.21,1.62
P0000916,2025-04-01,9,bottom,0,3,2,Austin Aces,Charlotte Comets,1002,1028,1015,ball,ball,False,,-0.103,1.444,3.21,1.62
P0000917,2025-04-01,6,top,1,3,2,Charlotte Comets,Austin Aces,1016,1014,1001,strike,strike,False,,0.18,2.377,3.21,1.62
P0000918,2025-04-01,2,top,2,1,1,Charlotte Comets,Austin Aces,1018,1011,1001,ball,ball,False,,-0.899,2.168,3.21,1.62
P0000919,2025-04-01,1,bottom,2,0,2,Austin Aces,Charlotte Comets,1005,1025,1015,ball,strike,False,,-0.687,2.418,3.21,1.62
P0000920,2025-04-01,8,top,1,1,1,Charlotte Comets,Austin Aces,1020,1010,1001,strike,strike,False,,0.422,3.152,3.21,1.62
P0000921,2025-04-01,6,top,1,0,1,Charlotte Comets,Austin Aces,1023,1013,1001,strike,strike,False,,0.551,1.712,3.21,1.62
P0000922,2025-04-01,8,top,0,0,2,Charlotte Comets,Austin Aces,1019,1010,1001,ball,ball,False,,-0.423,1.387,3.21,1.62
P0000923,2025-04-01,2,top,2,3,1,Charlotte Comets,Austin Aces,1017,1011,1001,ball,strike,False,,0.225,2.993,3.21,1.62
P0000924,2025-04-01,7,bottom,0,0,1,Austin Aces,Charlotte Comets,1009,1027,1015,ball,ball,False,,-0.892,1.357,3.21,1.62
P0000925,2025-04-01,7,top,1,1,2,Charlotte Comets,Austin Aces,1015,1011,1001,ball,ball,False,,-0.885,2.14,3.21,1.62
P0000926,2025-04-01,8,bottom,2,3,2,Austin Aces,Charlotte Comets,1003,1025,1015,strike,strike,False,,-0.496,1.949,3.21,1.62
P0000927,2025-04-01,7,bottom,2,2,2,Austin Aces,Charlotte Comets,1007,1027,1015,ball,ball,False,,-0.818,1.6,3.21,1.62
P0000928,2025-04-01,6,top,0,2,1,Charlotte Comets,Austin Aces,1021,1010,1001,ball,ball,False,,0.819,2.376,3.21,1.62
P0000929,2025-04-01,5,bottom,2,0,0,Austin Aces,Charlotte Comets,1001,1028,1015,ball,ball,False,,-0.948,2.274,3.21,1.62
P0000930,2025-04-01,9,top,1,0,2,Charlotte Comets,Austin Aces,1022,1013,1001,ball,ball,False,,-0.912,2.667,3.21,1.62
P0000931,2025-04-01,8,top,2,0,2,Charlotte Comets,Austin Aces,1016,1010,1001,ball,ball,False,,-0.793,2.477,3.21,1.62
P0000932,2025-04-01,9,top,1,1,1,Charlotte Comets,Austin Aces,1018,1011,1001,strike,strike,False,,-0.526,2.702,3.21,1.62
P0000933,2025-04-01,5,bottom,2,3,1,Austin Aces,Charlotte Comets,1006,1025,1015,ball,ball,False,,-0.15,3.362,3.21,1.62
P0000934,2025-04-01,8,top,2,3,1,Charlotte Comets,Austin Aces,1020,1011,1001,strike,strike,False,,-0.244,1.862,3.21,1.62
P0000935,2025-04-01,4,top,2,1,1,Charlotte Comets,Austin Aces,1023,1011,1001,strike,strike,False,,0.564,2.756,3.21,1.62
P0000936,2025-04-01,2,bottom,2,3,0,Austin Aces,Charlotte Comets,1004,1025,1015,strike,strike,False,,-0.418,2.792,3.21,1.62
P0000937,2025-04-01,8,top,0,2,1,Charlotte Comets,Austin Aces,1019,1010,1001,strike,strike,False,,0.025,2.676,3.21,1.62
P0000938,2025-04-01,1,top,2,1,2,Charlotte Comets,Austin Aces,1017,1010,1001,strike,strike,False,,-0.435,2.105,3.21,1.62
P0000939,2025-04-01,9,bottom,2,0,2,Austin Aces,Charlotte Comets,1008,1027,1015,ball,ball,False,,-0.828,2.343,3.21,1.62
P0000940,2025-04-01,7,bottom,1,1,0,Austin Aces,Charlotte Comets,1002,1026,1015,ball,ball,False,,-0.882,1.875,3.21,1.62
P0000941,2025-04-01,6,bottom,0,1,2,Austin Aces,Charlotte Comets,1005,1028,1015,strike,strike,False,,-0.339,2.319,3.21,1.62
P0000942,2025-04-01,3,bottom,0,2,0,Austin Aces,Charlotte Comets,1009,1024,1015,strike,strike,False,,-0.357,2.259,3.21,1.62
P0000943,2025-04-01,1,top,0,3,2,Charlotte Comets,Austin Aces,1015,1010,1001,ball,ball,False,,-0.219,3.829,3.21,1.62
P0000944,2025-04-01,9,top,2,0,2,Charlotte Comets,Austin Aces,1021,1013,1001,ball,ball,False,,-1.239,2.44,3.21,1.62
P0000945,2025-04-01,5,bottom,2,1,2,Austin Aces,Charlotte Comets,1003,1024,1015,strike,strike,False,,0.492,2.742,3.21,1.62
P0000946,2025-04-01,8,bottom,0,0,0,Austin Aces,Charlotte Comets,1007,1026,1015,strike,strike,False,,0.189,1.901,3.21,1.62
P0000947,2025-04-01,7,top,2,0,1,Charlotte Comets,Austin Aces,1022,1011,1001,ball,ball,False,,0.925,2.09,3.21,1.62
P0000948,2025-04-01,8,bottom,1,0,0,Austin Aces,Charlotte Comets,1001,1027,1015,strike,strike,False,,-0.069,2.139,3.21,1.62
P0000949,2025-04-01,4,top,2,2,2,Charlotte Comets,Austin Aces,1016,1010,1001,strike,strike,False,,-0.676,2.102,3.21,1.62
P0000950,2025-04-01,5,top,0,2,0,Charlotte Comets,Austin Aces,1018,1014,1001,ball,ball,False,,-1.124,2.097,3.21,1.62
P0000951,2025-04-01,1,top,1,0,1,Charlotte Comets,Austin Aces,1020,1012,1001,strike,strike,False,,0.067,2.925,3.21,1.62
P0000952,2025-04-01,7,bottom,2,3,1,Austin Aces,Charlotte Comets,1006,1027,1015,ball,ball,False,,1.18,3.139,3.21,1.62
P0000953,2025-04-01,9,top,2,2,0,Charlotte Comets,Austin Aces,1023,1010,1001,ball,ball,False,,0.716,2.533,3.21,1.62
P0000954,2025-04-01,1,bottom,0,1,0,Austin Aces,Charlotte Comets,1004,1024,1015,strike,strike,False,,-0.431,2.405,3.21,1.62
P0000955,2025-04-01,8,bottom,1,2,1,Austin Aces,Charlotte Comets,1008,1026,1015,strike,strike,False,,0.701,1.682,3.21,1.62
